Season,Club/Country,Award,Player
17,Real Madrid,The Best FIFA Men's Player,Cristiano Ronaldo
16,Real Madrid,The Best FIFA Men's Player,Cristiano Ronaldo
08,Manchester United,The Best FIFA Men's Player,Cristiano Ronaldo
17,,Winner Ballon d'Or,Cristiano Ronaldo
16,,Winner Ballon d'Or,Cristiano Ronaldo
14,,Winner Ballon d'Or,Cristiano Ronaldo
13,,Winner Ballon d'Or,Cristiano Ronaldo
08,,Winner Ballon d'Or,Cristiano Ronaldo
17,Real Madrid,UEFA Best Player in Europe,Cristiano Ronaldo
16,Real Madrid,UEFA Best Player in Europe,Cristiano Ronaldo
14,Real Madrid,UEFA Best Player in Europe,Cristiano Ronaldo
08,Manchester United,UEFA Best Player in Europe,Cristiano Ronaldo
20,Italy,Footballer of the Year,Cristiano Ronaldo
19,Italy,Footballer of the Year,Cristiano Ronaldo
18,Portugal,Footballer of the Year,Cristiano Ronaldo
17,Portugal,Footballer of the Year,Cristiano Ronaldo
16,Portugal,Footballer of the Year,Cristiano Ronaldo
15,Portugal,Footballer of the Year,Cristiano Ronaldo
13,Portugal,Footballer of the Year,Cristiano Ronaldo
12,Portugal,Footballer of the Year,Cristiano Ronaldo
11,Portugal,Footballer of the Year,Cristiano Ronaldo
09,Portugal,Footballer of the Year,Cristiano Ronaldo
08,Portugal,Footballer of the Year,Cristiano Ronaldo
08,England,Footballer of the Year,Cristiano Ronaldo
09,,FIFA Puskás Award,Cristiano Ronaldo
20/21,EURO 2020- 5 Goals,Top goal scorer,Cristiano Ronaldo
20/21,Serie A- 29 Goals,Top goal scorer,Cristiano Ronaldo
18/19,UEFA Nations League Finals- 3 Goals,Top goal scorer,Cristiano Ronaldo
17/18,FIFA Club World Cup- 2 Goals,Top goal scorer,Cristiano Ronaldo
17/18,UEFA Champions League- 15 Goals,Top goal scorer,Cristiano Ronaldo
16/17,FIFA Club World Cup- 4 Goals,Top goal scorer,Cristiano Ronaldo
16/17,UEFA Champions League- 12 Goals,Top goal scorer,Cristiano Ronaldo
15/16,UEFA Champions League- 16 Goals,Top goal scorer,Cristiano Ronaldo
14/15,UEFA Champions League- 10 Goals,Top goal scorer,Cristiano Ronaldo
14/15,LaLiga- 48 Goals,Top goal scorer,Cristiano Ronaldo
13/14,LaLiga- 31 Goals,Top goal scorer,Cristiano Ronaldo
13/14,UEFA Champions League- 17 Goals,Top goal scorer,Cristiano Ronaldo
12/13,UEFA Champions League- 12 Goals,Top goal scorer,Cristiano Ronaldo
11/12,EURO 2012- 3 Goals,Top goal scorer,Cristiano Ronaldo
10/11,Copa del Rey- 7 Goals,Top goal scorer,Cristiano Ronaldo
10/11,LaLiga- 40 Goals,Top goal scorer,Cristiano Ronaldo
07/08,UEFA Champions League- 8 Goals,Top goal scorer,Cristiano Ronaldo
07/08,Premier League- 31 Goals,Top goal scorer,Cristiano Ronaldo
20/21,Juventus FC,Player of the Year,Cristiano Ronaldo
19/20,Juventus FC,Player of the Year,Cristiano Ronaldo
18/19,Juventus FC,Player of the Year,Cristiano Ronaldo
13/14,Real Madrid,Player of the Year,Cristiano Ronaldo
12/13,Real Madrid,Player of the Year,Cristiano Ronaldo
07/08,Manchester United,Player of the Year,Cristiano Ronaldo
07/08,Manchester United,Player of the Year,Cristiano Ronaldo
19,Italy,TM-Player of the season,Cristiano Ronaldo
17,Spain,TM-Player of the season,Cristiano Ronaldo
16,Portugal,European champion,Cristiano Ronaldo
17/18,Real Madrid,Champions League winner,Cristiano Ronaldo
16/17,Real Madrid,Champions League winner,Cristiano Ronaldo
15/16,Real Madrid,Champions League winner,Cristiano Ronaldo
13/14,Real Madrid,Champions League winner,Cristiano Ronaldo
07/08,Manchester United,Champions League winner,Cristiano Ronaldo
17,Real Madrid,FIFA Club World Cup winner,Cristiano Ronaldo
16,Real Madrid,FIFA Club World Cup winner,Cristiano Ronaldo
15,Real Madrid,FIFA Club World Cup winner,Cristiano Ronaldo
14,Real Madrid,FIFA Club World Cup winner,Cristiano Ronaldo
08,Manchester United,FIFA Club World Cup winner,Cristiano Ronaldo
08/09,Manchester United,English Champion,Cristiano Ronaldo
07/08,Manchester United,English Champion,Cristiano Ronaldo
19/20,Juventus FC,Italian champion,Cristiano Ronaldo
18/19,Juventus FC,Italian champion,Cristiano Ronaldo
16/17,Real Madrid,Spanish champion,Cristiano Ronaldo
11/12,Real Madrid,Spanish champion,Cristiano Ronaldo
17/18,Real Madrid,Uefa Supercup winner,Cristiano Ronaldo
16/17,Real Madrid,Uefa Supercup winner,Cristiano Ronaldo
14/15,Real Madrid,Uefa Supercup winner,Cristiano Ronaldo
19,Portugal,Winner UEFA Nations League,Cristiano Ronaldo
13/14,Real Madrid,Spanish cup winner,Cristiano Ronaldo
10/11,Real Madrid,Spanish cup winner,Cristiano Ronaldo
20/21,Juventus FC,Italian cup winner,Cristiano Ronaldo
20/21,Juventus FC,Italian Super Cup winner,Cristiano Ronaldo
18/19,Juventus FC,Italian Super Cup winner,Cristiano Ronaldo
09,Manchester United,English League Cup winner,Cristiano Ronaldo
17/18,Real Madrid,Spanish Super Cup winner,Cristiano Ronaldo
12/13,Real Madrid,Spanish Super Cup winner,Cristiano Ronaldo
08,Manchester United,English Super Cup winner,Cristiano Ronaldo
22,,The Best FIFA Men's Player,Lionel Messi
19,,The Best FIFA Men's Player,Lionel Messi
09,,The Best FIFA Men's Player,Lionel Messi
23,,Winner Ballon d'Or,Lionel Messi
21,,Winner Ballon d'Or,Lionel Messi
19,,Winner Ballon d'Or,Lionel Messi
15,,Winner Ballon d'Or,Lionel Messi
12,,Winner Ballon d'Or,Lionel Messi
11,,Winner Ballon d'Or,Lionel Messi
10,,Winner Ballon d'Or,Lionel Messi
09,,Winner Ballon d'Or,Lionel Messi
15,,UEFA Best Player in Europe,Lionel Messi
11,,UEFA Best Player in Europe,Lionel Messi
09,,UEFA Best Player in Europe,Lionel Messi
22/23,Leagues Cup- 10 Goals,Top goal scorer,Lionel Messi
20/21,Copa América 2021- 4 Goals,Top goal scorer,Lionel Messi
20/21,LaLiga- 30 Goals,Top goal scorer,Lionel Messi
19/20,LaLiga- 25 Goals,Top goal scorer,Lionel Messi
18/19,UEFA Champions League- 12 Goals,Top goal scorer,Lionel Messi
18/19,LaLiga- 36 Goals,Top goal scorer,Lionel Messi
17/18,LaLiga- 34 Goals,Top goal scorer,Lionel Messi
16/17,Copa del Rey- 5 Goals,Top goal scorer,Lionel Messi
16/17,LaLiga- 37 Goals,Top goal scorer,Lionel Messi
15/16,Copa del Rey- 5 Goals,Top goal scorer,Lionel Messi
14/15,UEFA Champions League- 10 Goals,Top goal scorer,Lionel Messi
13/14,Copa del Rey- 5 Goals,Top goal scorer,Lionel Messi
12/13,LaLiga- 46 Goals,Top goal scorer,Lionel Messi
11/12,FIFA Club World Cup- 2 Goals,Top goal scorer,Lionel Messi
11/12,UEFA Champions League- 14 Goals,Top goal scorer,Lionel Messi
11/12,LaLiga- 50 Goals,Top goal scorer,Lionel Messi
10/11,Copa del Rey- 7 Goals,Top goal scorer,Lionel Messi
10/11,UEFA Champions League- 12 Goals,Top goal scorer,Lionel Messi
09/10,LaLiga- 34 Goals,Top goal scorer,Lionel Messi
09/10,UEFA Champions League- 8 Goals,Top goal scorer,Lionel Messi
08/09,Copa del Rey- 6 Goals,Top goal scorer,Lionel Messi
08/09,UEFA Champions League- 9 Goals,Top goal scorer,Lionel Messi
18/19,FC Barcelona,Player of the Year,Lionel Messi
17/18,FC Barcelona,Player of the Year,Lionel Messi
16/17,LaLiga,Player of the Year,Lionel Messi
14/15,FC Barcelona,Player of the Year,Lionel Messi
12/13,FC Barcelona,Player of the Year,Lionel Messi
11/12,FC Barcelona,Player of the Year,Lionel Messi
10/11,FC Barcelona,Player of the Year,Lionel Messi
09/10,FC Barcelona,Player of the Year,Lionel Messi
08/09,FC Barcelona,Player of the Year,Lionel Messi
08/09,FC Barcelona,Player of the Year,Lionel Messi
21,Spain,TM-Player of the season,Lionel Messi
20,Spain,TM-Player of the season,Lionel Messi
19,Spain,TM-Player of the season,Lionel Messi
18,Spain,TM-Player of the season,Lionel Messi
22,Argentina,World Cup winner,Lionel Messi
20/21,Argentina,Copa América winner,Lionel Messi
14/15,FC Barcelona,Champions League winner,Lionel Messi
10/11,FC Barcelona,Champions League winner,Lionel Messi
08/09,FC Barcelona,Champions League winner,Lionel Messi
16,FC Barcelona,FIFA Club World Cup winner,Lionel Messi
12,FC Barcelona,FIFA Club World Cup winner,Lionel Messi
10,FC Barcelona,FIFA Club World Cup winner,Lionel Messi
18/19,FC Barcelona,Spanish champion,Lionel Messi
17/18,FC Barcelona,Spanish champion,Lionel Messi
15/16,FC Barcelona,Spanish champion,Lionel Messi
14/15,FC Barcelona,Spanish champion,Lionel Messi
12/13,FC Barcelona,Spanish champion,Lionel Messi
10/11,FC Barcelona,Spanish champion,Lionel Messi
09/10,FC Barcelona,Spanish champion,Lionel Messi
08/09,FC Barcelona,Spanish champion,Lionel Messi
22/23,Paris Saint-Germain,French champion,Lionel Messi
21/22,Paris Saint-Germain,French champion,Lionel Messi
15/16,FC Barcelona,Uefa Supercup winner,Lionel Messi
11/12,FC Barcelona,Uefa Supercup winner,Lionel Messi
09/10,FC Barcelona,Uefa Supercup winner,Lionel Messi
20/21,FC Barcelona,Spanish cup winner,Lionel Messi
17/18,FC Barcelona,Spanish cup winner,Lionel Messi
16/17,FC Barcelona,Spanish cup winner,Lionel Messi
15/16,FC Barcelona,Spanish cup winner,Lionel Messi
14/15,FC Barcelona,Spanish cup winner,Lionel Messi
11/12,FC Barcelona,Spanish cup winner,Lionel Messi
08/09,FC Barcelona,Spanish cup winner,Lionel Messi
