Year,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player,Share
22,Premier League,Manchester United,2,0,6,1,2,5,2,0,0,18,Cristiano Ronaldo,0.0
22,Champions League,Manchester United,1,0,0,1,0,0,2,2,0,6,Cristiano Ronaldo,0.0
21,Serie A,Juventus FC,4,3,7,1,3,2,8,1,0,29,Cristiano Ronaldo,0.0654
21,Italy Cup,Juventus FC,0,1,1,0,0,0,0,0,0,2,Cristiano Ronaldo,0.0654
21,Supercoppa Italiana,Juventus FC,0,0,0,0,0,1,0,0,0,1,Cristiano Ronaldo,0.0654
21,Champions League,Juventus FC,1,0,1,0,2,0,0,0,0,4,Cristiano Ronaldo,0.0654
19,Serie A,Juventus FC,1,2,2,0,2,8,6,0,0,21,Cristiano Ronaldo,0.169
19,Champions League,Juventus FC,0,2,1,0,1,1,1,0,0,6,Cristiano Ronaldo,0.169
19,Supercoppa Italiana,Juventus FC,0,0,0,0,0,1,0,0,0,1,Cristiano Ronaldo,0.169
18,LaLiga,Real Madrid,2,3,6,1,2,3,8,1,0,26,Cristiano Ronaldo,0.1653
18,Champions League,Real Madrid,3,0,2,0,5,1,3,1,0,15,Cristiano Ronaldo,0.1653
18,Club World Cup,Real Madrid,0,0,0,0,2,0,0,0,0,2,Cristiano Ronaldo,0.1653
18,Supercopa,Real Madrid,0,0,0,0,0,0,1,0,0,1,Cristiano Ronaldo,0.1653
17,Champions League,Real Madrid,1,2,0,0,1,2,4,0,2,12,Cristiano Ronaldo,0.3359
17,LaLiga,Real Madrid,4,7,3,0,2,3,6,0,0,25,Cristiano Ronaldo,0.3359
17,Copa del Rey,Real Madrid,0,0,0,0,0,1,0,0,0,1,Cristiano Ronaldo,0.3359
17,Club World Cup,Real Madrid,0,0,0,0,1,0,0,1,2,4,Cristiano Ronaldo,0.3359
16,LaLiga,Real Madrid,7,8,5,0,4,4,6,1,0,35,Cristiano Ronaldo,0.4785
16,Champions League,Real Madrid,0,4,1,0,5,3,3,0,0,16,Cristiano Ronaldo,0.4785
15,LaLiga,Real Madrid,5,5,13,0,4,6,13,2,0,48,Cristiano Ronaldo,0.2821
15,Champions League,Real Madrid,0,7,3,0,0,0,0,0,0,10,Cristiano Ronaldo,0.2821
15,Copa del Rey,Real Madrid,0,0,0,0,1,0,0,0,0,1,Cristiano Ronaldo,0.2821
15,UEFA Super Cup,Real Madrid,0,1,0,0,1,0,0,0,0,2,Cristiano Ronaldo,0.2821
14,Champions League,Real Madrid,1,3,1,0,4,4,3,0,1,17,Cristiano Ronaldo,0.3766
14,LaLiga,Real Madrid,8,2,4,0,6,2,6,3,0,31,Cristiano Ronaldo,0.3766
14,Copa del Rey,Real Madrid,2,1,0,0,0,0,0,0,0,3,Cristiano Ronaldo,0.3766
13,Copa del Rey,Real Madrid,3,1,0,0,1,0,2,0,0,7,Cristiano Ronaldo,0.2799
13,LaLiga,Real Madrid,1,8,6,0,4,13,2,0,0,34,Cristiano Ronaldo,0.2799
13,Champions League,Real Madrid,3,1,3,0,0,1,3,1,0,12,Cristiano Ronaldo,0.2799
13,Supercopa,Real Madrid,0,1,0,0,1,0,0,0,0,2,Cristiano Ronaldo,0.2799
12,LaLiga,Real Madrid,2,9,6,0,12,9,8,0,0,46,Cristiano Ronaldo,0.2368
12,Champions League,Real Madrid,2,4,0,0,1,2,0,1,0,10,Cristiano Ronaldo,0.2368
12,Copa del Rey,Real Madrid,1,0,0,0,0,2,0,0,0,3,Cristiano Ronaldo,0.2368
12,Supercopa,Real Madrid,0,1,0,0,0,0,0,0,0,1,Cristiano Ronaldo,0.2368
11,LaLiga,Real Madrid,5,7,4,0,6,6,10,2,0,40,Cristiano Ronaldo,0.216
11,Copa del Rey,Real Madrid,0,1,1,0,1,2,1,0,1,7,Cristiano Ronaldo,0.216
11,Champions League,Real Madrid,1,0,0,0,2,1,2,0,0,6,Cristiano Ronaldo,0.216
10,LaLiga,Real Madrid,3,7,4,0,3,4,5,0,0,26,Cristiano Ronaldo,0.0392
10,Champions League,Real Madrid,2,1,0,0,1,1,2,0,0,7,Cristiano Ronaldo,0.0392
9,Premier League,Manchester United,4,3,2,0,3,4,2,0,0,18,Cristiano Ronaldo,0.1618
9,Champions League,Manchester United,2,0,0,0,1,1,0,0,0,4,Cristiano Ronaldo,0.1618
9,FA Cup,Manchester United,0,0,0,0,0,1,0,0,0,1,Cristiano Ronaldo,0.1618
9,EFL Cup,Manchester United,0,1,0,0,0,0,1,0,0,2,Cristiano Ronaldo,0.1618
9,Club World Cup,Manchester United,0,0,0,1,0,0,0,0,0,1,Cristiano Ronaldo,0.1618
8,Champions League,Manchester United,0,1,3,0,0,2,1,1,0,8,Cristiano Ronaldo,0.3097
8,Premier League,Manchester United,7,4,5,0,6,1,7,1,0,31,Cristiano Ronaldo,0.3097
8,FA Cup,Manchester United,0,0,0,0,0,1,2,0,0,3,Cristiano Ronaldo,0.3097
23,MLS,Inter Miami CF,0,0,0,0,0,0,1,0,0,1,Lionel Messi,0.3139
23,Leagues Cup,Inter Miami CF,3,3,0,0,0,1,2,1,0,10,Lionel Messi,0.3139
23,Ligue 1,Paris Saint-Germain,2,4,1,0,3,2,3,1,0,16,Lionel Messi,0.3139
23,Champions League,Paris Saint-Germain,0,2,2,0,0,0,0,0,0,4,Lionel Messi,0.3139
23,Trophée des Champions,Paris Saint-Germain,0,1,0,0,0,0,0,0,0,1,Lionel Messi,0.3139
21,LaLiga,FC Barcelona,2,4,6,2,4,7,5,0,0,30,Lionel Messi,0.2254
21,Copa del Rey,FC Barcelona,0,0,0,0,0,3,0,0,0,3,Lionel Messi,0.2254
21,Champions League,FC Barcelona,1,2,1,0,0,0,0,1,0,5,Lionel Messi,0.2254
19,Copa del Rey,FC Barcelona,0,0,0,0,1,1,0,1,0,3,Lionel Messi,0.2436
19,LaLiga,FC Barcelona,1,7,6,1,4,9,5,3,0,36,Lionel Messi,0.2436
19,Champions League,FC Barcelona,0,3,1,0,1,2,5,0,0,12,Lionel Messi,0.2436
18,LaLiga,FC Barcelona,1,8,6,0,3,6,10,0,0,34,Lionel Messi,0.0972
18,Copa del Rey,FC Barcelona,2,1,1,0,0,0,0,0,0,4,Lionel Messi,0.0972
18,Champions League,FC Barcelona,1,0,1,0,0,4,0,0,0,6,Lionel Messi,0.0972
18,Supercopa,FC Barcelona,0,0,0,0,0,0,1,0,0,1,Lionel Messi,0.0972
17,Copa del Rey,FC Barcelona,0,1,1,0,2,0,1,0,0,5,Lionel Messi,0.2379
17,LaLiga,FC Barcelona,4,4,8,0,8,4,5,4,0,37,Lionel Messi,0.2379
17,Champions League,FC Barcelona,1,5,0,0,3,2,0,0,0,11,Lionel Messi,0.2379
17,Supercopa,FC Barcelona,0,0,0,0,1,0,0,0,0,1,Lionel Messi,0.2379
16,LaLiga,FC Barcelona,5,4,6,0,3,4,3,1,0,26,Lionel Messi,0.203
16,Champions League,FC Barcelona,0,2,0,0,1,1,2,0,0,6,Lionel Messi,0.203
16,Copa del Rey,FC Barcelona,1,1,1,0,1,1,0,0,0,5,Lionel Messi,0.203
16,Club World Cup,FC Barcelona,0,0,1,0,0,0,0,0,0,1,Lionel Messi,0.203
16,Supercopa,FC Barcelona,0,0,1,0,0,0,0,0,0,1,Lionel Messi,0.203
16,UEFA Super Cup,FC Barcelona,1,1,0,0,0,0,0,0,0,2,Lionel Messi,0.203
15,Copa del Rey,FC Barcelona,0,1,2,0,0,1,1,0,0,5,Lionel Messi,0.4113
15,LaLiga,FC Barcelona,5,2,6,1,9,10,9,1,0,43,Lionel Messi,0.4113
15,Champions League,FC Barcelona,1,2,2,0,1,0,4,0,0,10,Lionel Messi,0.4113
14,LaLiga,FC Barcelona,4,5,7,0,2,5,5,0,0,28,Lionel Messi,0.1576
14,Champions League,FC Barcelona,0,3,0,0,2,2,1,0,0,8,Lionel Messi,0.1576
14,Copa del Rey,FC Barcelona,0,1,1,0,0,1,1,1,0,5,Lionel Messi,0.1576
13,LaLiga,FC Barcelona,6,8,5,0,13,8,6,0,0,46,Lionel Messi,0.2472
13,Champions League,FC Barcelona,1,1,3,0,0,1,1,1,0,8,Lionel Messi,0.2472
13,Copa del Rey,FC Barcelona,1,1,0,0,0,1,1,0,0,4,Lionel Messi,0.2472
13,Supercopa,FC Barcelona,0,0,1,0,1,0,0,0,0,2,Lionel Messi,0.2472
12,Copa del Rey,FC Barcelona,0,1,0,0,0,1,1,0,0,3,Lionel Messi,0.416
12,LaLiga,FC Barcelona,5,10,6,0,7,10,11,1,0,50,Lionel Messi,0.416
12,Champions League,FC Barcelona,1,2,4,1,3,0,2,1,0,14,Lionel Messi,0.416
12,Club World Cup,FC Barcelona,0,1,0,0,0,0,1,0,0,2,Lionel Messi,0.416
12,UEFA Super Cup,FC Barcelona,0,0,1,0,0,0,0,0,0,1,Lionel Messi,0.416
12,Supercopa,FC Barcelona,0,0,2,0,0,0,1,0,0,3,Lionel Messi,0.416
11,Champions League,FC Barcelona,0,2,3,0,2,2,2,1,0,12,Lionel Messi,0.4788
11,LaLiga,FC Barcelona,3,5,4,0,5,4,9,1,0,31,Lionel Messi,0.4788
11,Copa del Rey,FC Barcelona,2,0,2,0,0,3,0,0,0,7,Lionel Messi,0.4788
11,Supercopa,FC Barcelona,0,1,1,0,0,0,0,1,0,3,Lionel Messi,0.4788
10,LaLiga,FC Barcelona,4,4,4,0,2,7,10,3,0,34,Lionel Messi,0.2265
10,Champions League,FC Barcelona,1,2,2,0,1,0,2,0,0,8,Lionel Messi,0.2265
10,Club World Cup,FC Barcelona,0,0,0,0,1,0,0,0,1,2,Lionel Messi,0.2265
10,Copa del Rey,FC Barcelona,0,0,0,0,0,1,0,0,0,1,Lionel Messi,0.2265
10,Supercopa,FC Barcelona,0,0,0,0,1,1,0,0,0,2,Lionel Messi,0.2265
9,Champions League,FC Barcelona,2,0,2,0,1,2,1,1,0,9,Lionel Messi,0.3285
9,Copa del Rey,FC Barcelona,1,0,0,0,2,0,3,0,0,6,Lionel Messi,0.3285
9,LaLiga,FC Barcelona,1,6,2,0,2,3,8,1,0,23,Lionel Messi,0.3285
8,LaLiga,FC Barcelona,3,1,1,0,1,1,3,0,0,10,Lionel Messi,0.1951
8,Champions League,FC Barcelona,0,1,1,0,1,1,2,0,0,6,Lionel Messi,0.1951
9,Premier League,Liverpool FC,1,2,1,0,3,3,2,2,0,14,Fernando Torres,0.0153
9,Champions League,Liverpool FC,1,1,0,0,0,0,0,0,0,2,Fernando Torres,0.0153
9,FA Cup,Liverpool FC,0,0,0,0,0,0,0,1,0,1,Fernando Torres,0.0153
8,Premier League,Liverpool FC,3,3,1,0,6,5,5,1,0,24,Fernando Torres,0.1243
8,Champions League,Liverpool FC,1,1,0,0,0,3,1,0,0,6,Fernando Torres,0.1243
8,EFL Cup,Liverpool FC,0,0,0,0,1,1,1,0,0,3,Fernando Torres,0.1243
13,Champions League,FC Barcelona,0,0,0,0,0,0,1,0,,1,Xavi,0.0081
13,LaLiga,FC Barcelona,1,1,1,0,0,0,2,0,,5,Xavi,0.0081
13,Supercopa,FC Barcelona,0,0,0,0,0,0,1,0,,1,Xavi,0.0081
12,LaLiga,FC Barcelona,3,2,1,0,2,0,2,0,,10,Xavi,0.0408
12,Copa del Rey,FC Barcelona,0,0,1,0,0,0,1,0,,2,Xavi,0.0408
12,Club World Cup,FC Barcelona,0,1,0,0,0,0,0,0,,1,Xavi,0.0408
12,Champions League,FC Barcelona,0,0,0,0,0,1,0,0,,1,Xavi,0.0408
11,Champions League,FC Barcelona,0,0,0,0,0,1,1,0,,2,Xavi,0.0923
11,LaLiga,FC Barcelona,1,1,0,0,0,1,0,0,,3,Xavi,0.0923
10,LaLiga,FC Barcelona,0,1,1,0,0,1,0,0,,3,Xavi,0.1648
10,Copa del Rey,FC Barcelona,0,0,0,0,0,2,0,0,,2,Xavi,0.1648
10,Champions League,FC Barcelona,0,0,1,0,0,0,0,0,,1,Xavi,0.1648
10,Supercopa,FC Barcelona,0,0,0,0,1,0,0,0,,1,Xavi,0.1648
9,Copa del Rey,FC Barcelona,0,0,0,0,0,1,0,0,,1,Xavi,0.1181
9,LaLiga,FC Barcelona,1,2,0,0,2,0,1,0,,6,Xavi,0.1181
9,Champions League,FC Barcelona,0,0,0,0,1,0,1,0,,2,Xavi,0.1181
9,Champions League Qu.,FC Barcelona,0,1,0,0,0,0,0,0,,1,Xavi,0.1181
8,LaLiga,FC Barcelona,2,0,0,0,0,3,2,0,,7,Xavi,0.0674
8,Champions League,FC Barcelona,1,0,0,0,0,0,0,0,,1,Xavi,0.0674
8,Copa del Rey,FC Barcelona,0,0,0,0,0,0,0,1,,1,Xavi,0.0674
9,Premier League,Arsenal FC,0,0,1,0,0,3,2,0,0,6,Andrei Arshavin,0.0035
8,Premier Liga,Zenit St. Petersburg,2,2,0,0,0,0,1,1,0,6,Andrei Arshavin,0.0444
8,UEFA Cup,Zenit St. Petersburg,0,1,1,0,0,1,1,0,0,4,Andrei Arshavin,0.0444
8,Russian Super Cup,Zenit St. Petersburg,0,0,1,0,0,0,0,0,0,1,Andrei Arshavin,0.0444
8,Russian Cup,Zenit St. Petersburg,0,0,0,0,0,1,0,0,0,1,Andrei Arshavin,0.0444
11,Champions League,FC Barcelona,0,1,1,0,1,1,0,0,,4,David Villa,0.0053
11,LaLiga,FC Barcelona,2,5,1,0,4,2,4,0,,18,David Villa,0.0053
11,Copa del Rey,FC Barcelona,1,0,0,0,0,0,0,0,,1,David Villa,0.0053
10,LaLiga,Valencia CF,2,5,4,0,6,1,1,2,,21,David Villa,0.0225
10,Europa League,Valencia CF,1,0,1,0,0,1,2,1,,6,David Villa,0.0225
10,Europa League Qualifying,Valencia CF,0,0,1,0,0,0,0,0,,1,David Villa,0.0225
9,LaLiga,Valencia CF,5,4,4,0,4,6,5,0,,28,David Villa,0.0014
9,Copa del Rey,Valencia CF,1,0,0,0,0,0,0,0,,1,David Villa,0.0014
9,UEFA Cup,Valencia CF,0,0,0,0,0,0,0,1,,1,David Villa,0.0014
9,Supercopa,Valencia CF,0,0,0,0,1,0,0,0,,1,David Villa,0.0014
8,LaLiga,Valencia CF,3,4,3,0,2,5,1,0,,18,David Villa,0.0382
8,Copa del Rey,Valencia CF,0,0,0,0,0,1,0,0,,1,David Villa,0.0382
8,Champions League,Valencia CF,1,0,0,0,0,1,0,0,,2,David Villa,0.0382
8,Champions League Qu.,Valencia CF,0,0,0,0,0,0,1,0,,1,David Villa,0.0382
9,Serie A,AC Milan,3,1,1,0,5,4,2,0,0,16,Kaká,0.0403
8,Serie A,AC Milan,2,1,3,1,5,2,1,0,0,15,Kaká,0.0215
8,Club World Cup,AC Milan,0,0,0,0,0,1,0,0,0,1,Kaká,0.0215
8,Champions League,AC Milan,0,0,0,0,0,2,0,0,0,2,Kaká,0.0215
8,UEFA Super Cup,AC Milan,0,0,0,0,0,0,1,0,0,1,Kaká,0.0215
16,Coupe de France,Paris Saint-Germain,0,0,0,0,2,3,2,0,0,7,Zlatan Ibrahimović,0.0032
16,Ligue 1,Paris Saint-Germain,4,2,7,0,9,7,8,1,0,38,Zlatan Ibrahimović,0.0032
16,Champions League,Paris Saint-Germain,0,0,2,0,1,1,1,0,0,5,Zlatan Ibrahimović,0.0032
15,Ligue 1,Paris Saint-Germain,4,1,2,0,4,4,4,0,0,19,Zlatan Ibrahimović,0.0105
