Season,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player
23/24,King's Cup,Al-Nassr FC,-,-,-,-,-,1,-,-,-,1,Cristiano Ronaldo
23/24,Saudi Pro League,Al-Nassr FC,2,1,3,-,4,1,4,1,-,16,Cristiano Ronaldo
23/24,AFC Champions League,Al-Nassr FC,-,-,-,-,-,2,1,-,-,3,Cristiano Ronaldo
22/23,Saudi Pro League,Al-Nassr FC,1,3,3,-,3,2,1,1,-,14,Cristiano Ronaldo
22/23,Europa League,Manchester United,-,-,1,-,-,-,1,-,-,2,Cristiano Ronaldo
22/23,Premier League,Manchester United,-,-,1,-,-,-,-,-,-,1,Cristiano Ronaldo
21/22,Premier League,Manchester United,2,-,6,1,2,5,2,-,-,18,Cristiano Ronaldo
21/22,Champions League,Manchester United,1,-,-,1,-,-,2,2,-,6,Cristiano Ronaldo
20/21,Serie A,Juventus FC,4,3,7,1,3,2,8,1,-,29,Cristiano Ronaldo
20/21,Italy Cup,Juventus FC,-,1,1,-,-,-,-,-,-,2,Cristiano Ronaldo
20/21,Supercoppa Italiana,Juventus FC,-,-,-,-,-,1,-,-,-,1,Cristiano Ronaldo
20/21,Champions League,Juventus FC,1,-,1,-,2,-,-,-,-,4,Cristiano Ronaldo
19/20,Champions League,Juventus FC,-,-,1,-,1,1,1,-,-,4,Cristiano Ronaldo
19/20,Serie A,Juventus FC,2,3,5,1,8,6,5,1,-,31,Cristiano Ronaldo
19/20,Italy Cup,Juventus FC,-,1,-,-,-,-,-,1,-,2,Cristiano Ronaldo
18/19,Serie A,Juventus FC,1,2,2,-,2,8,6,-,-,21,Cristiano Ronaldo
18/19,Champions League,Juventus FC,-,2,1,-,1,1,1,-,-,6,Cristiano Ronaldo
18/19,Supercoppa Italiana,Juventus FC,-,-,-,-,-,1,-,-,-,1,Cristiano Ronaldo
17/18,LaLiga,Real Madrid,2,3,6,1,2,3,8,1,-,26,Cristiano Ronaldo
17/18,Champions League,Real Madrid,3,-,2,-,5,1,3,1,-,15,Cristiano Ronaldo
17/18,Club World Cup,Real Madrid,-,-,-,-,2,-,-,-,-,2,Cristiano Ronaldo
17/18,Supercopa,Real Madrid,-,-,-,-,-,-,1,-,-,1,Cristiano Ronaldo
16/17,Champions League,Real Madrid,1,2,-,-,1,2,4,-,2,12,Cristiano Ronaldo
16/17,LaLiga,Real Madrid,4,7,3,-,2,3,6,-,-,25,Cristiano Ronaldo
16/17,Copa del Rey,Real Madrid,-,-,-,-,-,1,-,-,-,1,Cristiano Ronaldo
16/17,Club World Cup,Real Madrid,-,-,-,-,1,-,-,1,2,4,Cristiano Ronaldo
15/16,LaLiga,Real Madrid,7,8,5,-,4,4,6,1,-,35,Cristiano Ronaldo
15/16,Champions League,Real Madrid,-,4,1,-,5,3,3,-,-,16,Cristiano Ronaldo
14/15,LaLiga,Real Madrid,5,5,13,-,4,6,13,2,-,48,Cristiano Ronaldo
14/15,Champions League,Real Madrid,-,7,3,-,-,-,-,-,-,10,Cristiano Ronaldo
14/15,Copa del Rey,Real Madrid,-,-,-,-,1,-,-,-,-,1,Cristiano Ronaldo
14/15,UEFA Super Cup,Real Madrid,-,1,-,-,1,-,-,-,-,2,Cristiano Ronaldo
13/14,Champions League,Real Madrid,1,3,1,-,4,4,3,-,1,17,Cristiano Ronaldo
13/14,LaLiga,Real Madrid,8,2,4,-,6,2,6,3,-,31,Cristiano Ronaldo
13/14,Copa del Rey,Real Madrid,2,1,-,-,-,-,-,-,-,3,Cristiano Ronaldo
12/13,Copa del Rey,Real Madrid,3,1,-,-,1,-,2,-,-,7,Cristiano Ronaldo
12/13,LaLiga,Real Madrid,1,8,6,-,4,13,2,-,-,34,Cristiano Ronaldo
12/13,Champions League,Real Madrid,3,1,3,-,-,1,3,1,-,12,Cristiano Ronaldo
12/13,Supercopa,Real Madrid,-,1,-,-,1,-,-,-,-,2,Cristiano Ronaldo
