Kategori: Alle kategorier

Uge,Lionel Messi: (Hele verden),Andrés Iniesta: (Hele verden),Xavi: (Hele verden)
2010-01-03,13,1,1
2010-01-10,14,1,2
2010-01-17,15,1,2
2010-01-24,12,1,2
2010-01-31,13,1,1
2010-02-07,12,1,1
2010-02-14,12,1,2
2010-02-21,13,1,2
2010-02-28,13,1,2
2010-03-07,13,1,1
2010-03-14,27,2,2
2010-03-21,44,1,1
2010-03-28,28,1,2
2010-04-04,100,2,3
2010-04-11,57,2,3
2010-04-18,38,2,2
2010-04-25,34,2,2
2010-05-02,33,1,3
2010-05-09,32,1,2
2010-05-16,37,2,2
2010-05-23,32,1,2
2010-05-30,30,1,2
2010-06-06,54,3,3
2010-06-13,64,3,3
2010-06-20,67,3,3
2010-06-27,82,3,4
2010-07-04,58,6,8
2010-07-11,46,49,13
2010-07-18,31,6,3
2010-07-25,26,4,2
2010-08-01,26,3,2
2010-08-08,24,2,2
2010-08-15,22,2,2
2010-08-22,26,2,2
2010-08-29,25,3,2
2010-09-05,23,2,2
2010-09-12,28,2,2
2010-09-19,48,4,2
2010-09-26,26,2,2
2010-10-03,25,2,2
2010-10-10,24,2,2
2010-10-17,25,2,2
2010-10-24,23,2,2
2010-10-31,25,2,3
2010-11-07,23,1,2
2010-11-14,37,2,2
2010-11-21,31,2,2
2010-11-28,39,3,6
2010-12-05,31,4,4
2010-12-12,31,4,4
2010-12-19,30,4,4
2010-12-26,29,4,3
