Player,Year,Share
Alexis Sánchez,15.0,0.0114
Alisson,18.0,0.0007
Andrea Pirlo,13.0,0.0111
Andrei Arshavin,8.0,0.0444
Andrei Arshavin,9.0,0.0035
André Onana,23.0,0.0014
Andrés Iniesta,9.0,0.1035
Andrés Iniesta,10.0,0.1736
Andrés Iniesta,11.0,0.0601
Andrés Iniesta,12.0,0.1091
Andrés Iniesta,13.0,0.0208
Andrés Iniesta,14.0,0.0067
Andrés Iniesta,15.0,0.0123
Andrés Iniesta,16.0,0.0
Antoine Griezmann,16.0,0.1272
Antoine Griezmann,17.0,0.006
Antoine Griezmann,18.0,0.1438
Antoine Griezmann,19.0,0.0032
Antoine Griezmann,23.0,0.0027
Antonio Rüdiger,22.0,0.0
Arjen Robben,10.0,0.0116
Arjen Robben,13.0,0.0177
Arjen Robben,14.0,0.0717
Arjen Robben,15.0,0.0029
Arturo Vidal,15.0,0.0058
Arturo Vidal,16.0,0.0026
Bastian Schweinsteiger,10.0,0.0075
Bastian Schweinsteiger,11.0,0.005
Bastian Schweinsteiger,13.0,0.0043
Bastian Schweinsteiger,14.0,0.0057
Bernardo Silva,19.0,0.0146
Bernardo Silva,22.0,0.0
Bernardo Silva,23.0,0.0136
Bukayo Saka,23.0,0.0007
Carles Puyol,10.0,0.0143
Casemiro,22.0,0.0007
Cesc Fàbregas,8.0,0.0028
Cesc Fàbregas,9.0,0.009
Cesc Fàbregas,10.0,0.0022
Cesc Fàbregas,11.0,0.0029
Christopher Nkunku,22.0,0.0
Cristiano Ronaldo,8.0,0.3097
Cristiano Ronaldo,9.0,0.1618
Cristiano Ronaldo,10.0,0.0392
Cristiano Ronaldo,11.0,0.216
Cristiano Ronaldo,12.0,0.2368
Cristiano Ronaldo,13.0,0.2799
Cristiano Ronaldo,14.0,0.3766
Cristiano Ronaldo,15.0,0.2821
Cristiano Ronaldo,16.0,0.4785
Cristiano Ronaldo,17.0,0.3359
Cristiano Ronaldo,18.0,0.1653
Cristiano Ronaldo,19.0,0.169
Cristiano Ronaldo,21.0,0.0654
Cristiano Ronaldo,22.0,0.0
Dani Alves,10.0,0.0005
Dani Alves,11.0,0.0034
Darwin Núñez,22.0,0.0
David Villa,8.0,0.0382
David Villa,9.0,0.0014
David Villa,10.0,0.0225
David Villa,11.0,0.0053
David de Gea,17.0,0.0053
Didier Drogba,8.0,0.0021
