Season,Competition,Club,Appearances,Goals,Assists,Yellow cards,Sesond yellow cards,Red cards,Minutes played,Player,Second yellow cards,Goals conceded,Clean sheets
23/24,AFC Champions League,Al-Nassr FC,4,3,1,-,-,-,348,Cristiano Ronaldo,,,
23/24,AFC CL-Qualification,Al-Nassr FC,1,-,1,-,-,-,90,Cristiano Ronaldo,,,
22/23,Europa League,Manchester United,6,2,2,1,-,-,531,Cristiano Ronaldo,,,
21/22,Champions League,Manchester United,7,6,-,1,-,-,611,Cristiano Ronaldo,,,
20/21,Champions League,Juventus FC,6,4,2,-,-,-,568,Cristiano Ronaldo,,,
19/20,Champions League,Juventus FC,8,4,1,-,-,-,712,Cristiano Ronaldo,,,
18/19,Champions League,Juventus FC,9,6,2,1,-,1,749,Cristiano Ronaldo,,,
17/18,Champions League,Real Madrid,13,15,3,2,-,-,1170,Cristiano Ronaldo,,,
17/18,Club World Cup,Real Madrid,2,2,-,-,-,-,180,Cristiano Ronaldo,,,
17/18,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,7,Cristiano Ronaldo,,,
16/17,Champions League,Real Madrid,13,12,6,1,-,-,1200,Cristiano Ronaldo,,,
16/17,Club World Cup,Real Madrid,2,4,-,-,-,-,202,Cristiano Ronaldo,,,
15/16,Champions League,Real Madrid,12,16,4,1,-,-,1109,Cristiano Ronaldo,,,
14/15,Champions League,Real Madrid,12,10,4,1,-,-,1065,Cristiano Ronaldo,,,
14/15,Club World Cup,Real Madrid,2,-,2,-,-,-,180,Cristiano Ronaldo,,,
14/15,UEFA Super Cup,Real Madrid,1,2,-,-,-,-,90,Cristiano Ronaldo,,,
13/14,Champions League,Real Madrid,11,17,5,1,-,-,993,Cristiano Ronaldo,,,
12/13,Champions League,Real Madrid,12,12,1,1,-,-,1080,Cristiano Ronaldo,,,
11/12,Champions League,Real Madrid,10,10,3,1,-,-,930,Cristiano Ronaldo,,,
10/11,Champions League,Real Madrid,12,6,4,2,-,-,1021,Cristiano Ronaldo,,,
09/10,Champions League,Real Madrid,6,7,1,-,-,-,450,Cristiano Ronaldo,,,
08/09,Champions League,Manchester United,12,4,3,2,-,-,1010,Cristiano Ronaldo,,,
08/09,Club World Cup,Manchester United,2,1,1,-,-,-,180,Cristiano Ronaldo,,,
07/08,Champions League,Manchester United,11,8,1,2,-,-,1016,Cristiano Ronaldo,,,
06/07,Champions League,Manchester United,11,3,5,3,-,-,951,Cristiano Ronaldo,,,
05/06,Champions League,Manchester United,6,-,-,1,-,-,506,Cristiano Ronaldo,,,
05/06,Champions League Qu.,Manchester United,2,1,1,-,-,-,157,Cristiano Ronaldo,,,
04/05,Champions League,Manchester United,7,-,2,-,-,-,502,Cristiano Ronaldo,,,
04/05,Champions League Qu.,Manchester United,1,-,-,-,-,-,64,Cristiano Ronaldo,,,
03/04,Champions League,Manchester United,5,-,1,-,-,-,291,Cristiano Ronaldo,,,
02/03,UEFA Cup,Sporting CP,2,-,1,-,-,-,118,Cristiano Ronaldo,,,
02/03,Champions League Qu.,Sporting CP,1,-,-,-,-,-,32,Cristiano Ronaldo,,,
2023,Leagues Cup,Inter Miami CF,7,10,1,1,-,-,594,Lionel Messi,,,
22/23,Champions League,Paris Saint-Germain,7,4,4,-,-,-,615,Lionel Messi,,,
21/22,Champions League,Paris Saint-Germain,7,5,-,1,-,-,630,Lionel Messi,,,
20/21,Champions League,FC Barcelona,6,5,2,-,-,-,540,Lionel Messi,,,
19/20,Champions League,FC Barcelona,8,3,4,2,-,-,661,Lionel Messi,,,
18/19,Champions League,FC Barcelona,10,12,3,-,-,-,837,Lionel Messi,,,
17/18,Champions League,FC Barcelona,10,6,2,2,-,-,783,Lionel Messi,,,
16/17,Champions League,FC Barcelona,9,11,2,-,-,-,810,Lionel Messi,,,
